model,trial,C,class_weight,auc_mean,pr_auc_mean,f1_mean,auc_std,pr_auc_std,f1_std,n_estimators,max_depth,min_samples_leaf,learning_rate,subsample,colsample_bytree
xgboost,23,,,0.7898127637715172,0.7899388209108047,0.7543561154797944,0.0068415467346412484,0.008058167942441886,0.006470708625888819,420.0,4,,0.06,0.9,0.8
xgboost,24,,,0.7813521725372092,0.7831808139981333,0.7488054646712443,0.008233065132001581,0.008435852503115765,0.010229219341947773,420.0,6,,0.06,0.8,0.8
xgboost,25,,,0.7946780713328835,0.7951592500444628,0.7574184423458539,0.00600719825098551,0.006327071587213916,0.006917939847547667,220.0,4,,0.03,0.9,0.9
xgboost,26,,,0.7947534929476266,0.7943450328570194,0.7562474121212797,0.006196515065394154,0.007565694461314693,0.005828207387703951,320.0,4,,0.03,0.8,0.8
xgboost,27,,,0.7906836615263747,0.7910800095203085,0.7551247438758708,0.005622900000603136,0.007548354775872382,0.007389686457683317,320.0,6,,0.03,0.9,0.8
xgboost,28,,,0.792920492843545,0.7922341328528815,0.7572738714931317,0.006345096244979061,0.008951531985268733,0.006967372937721612,220.0,4,,0.06,0.8,0.8
xgboost,29,,,0.7868498081203856,0.7864257068335772,0.7533917756302173,0.00794961922363383,0.009995642703573884,0.008428212387571972,220.0,6,,0.06,0.9,0.8
xgboost,30,,,0.7947897422467542,0.7941065447617703,0.7564411239324984,0.00611764772164097,0.006879527661936751,0.007514695657770285,320.0,4,,0.03,0.8,0.9
xgboost,31,,,0.7882419964545079,0.7879709006198066,0.751101930846176,0.006868846205957553,0.00786654376167262,0.009811085453457007,320.0,6,,0.04,0.9,0.8
xgboost,32,,,0.7902138829853311,0.7893959599588387,0.7551754927475847,0.007153718052292904,0.009370382593066932,0.009145522232788177,220.0,5,,0.06,0.8,0.8
xgboost,33,,,0.7892704075637165,0.7883574737580739,0.7544624598734412,0.007518659007952489,0.008854076367077702,0.009596556974214507,320.0,6,,0.04,0.8,0.8
xgboost,34,,,0.7945307912222211,0.7946069153044479,0.757620398027764,0.005998449929843098,0.006746933427478739,0.0063018363712089714,320.0,4,,0.03,0.9,0.8
xgboost,35,,,0.7874814335069147,0.7865477233458983,0.7538117097193378,0.007520022542658463,0.009438094140970774,0.008466237319995773,320.0,5,,0.06,0.8,0.9
xgboost,36,,,0.7868059556544891,0.7870670768380046,0.7537059570941139,0.007314052637093746,0.008306299660111625,0.008710084801710373,420.0,6,,0.04,0.8,0.8
xgboost,37,,,0.791431536749227,0.7910206444123784,0.7550227941820247,0.006060393244885603,0.008069774585127858,0.007491122724355444,320.0,5,,0.04,0.9,0.8
xgboost,38,,,0.7876737348200227,0.786512458553295,0.7534892754533147,0.007543444298801563,0.010821762245913446,0.007402279701832949,220.0,6,,0.06,0.9,0.9
xgboost,39,,,0.7939277114956537,0.7938991169274532,0.7560807429830778,0.006857416166083562,0.007123370364488913,0.006319654051421083,320.0,4,,0.04,0.9,0.9
xgboost,40,,,0.7871195898510288,0.7871191302071047,0.7509765446138412,0.007629078069772705,0.007159098152170157,0.008087562219565868,220.0,6,,0.06,0.8,0.8
