epochs,batch_size,calibration_keypoints,lattice_size,learning_rate,early_stopping_patience,grouping_mode,max_group_dim,tune_profile,cv_splits,cv_repeats,cv_folds,auc_mean,auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,brier_mean,log_loss_mean,fallback_count,all_lattice,balanced_score,risk_heavy_score,composite_score
28,256,20,4,0.005,6,correlation,2,final,5,1,5,0.7892609107818549,0.006628535253488287,0.7869720963004274,0.01034313742933553,0.7546608765102913,0.006049870248048344,0.18734586834907532,0.5570745252544657,0,True,1.7211181878285498,1.7650416643415567,1.7211181878285498
28,128,15,3,0.002,6,fixed,2,final,5,1,5,0.7890814068149998,0.005938497069938555,0.7853481485614354,0.010785502851613988,0.7544412882951204,0.007434768733810063,0.1889467418193817,0.5616168242440455,0,True,1.7172949626747032,1.7608209126146688,1.7172949626747032
36,256,20,3,0.005,6,correlation,2,final,5,1,5,0.7890041463119831,0.004440875618301261,0.786433662872755,0.010152215191053226,0.75504368528088,0.0059838208563677405,0.1872529536485672,0.5566979900033905,0,True,1.720664764594278,1.7646811391751633,1.720664764594278
28,256,20,4,0.005,6,fixed,3,final,5,1,5,0.7889308514888717,0.007888914759828485,0.7872267292785627,0.012193798225376331,0.753937843929364,0.007584802325942269,0.18822137415409088,0.5592855546290566,0,True,1.7197322837811286,1.7634920774656304,1.7197322837811286
20,128,20,4,0.005,6,correlation,3,final,5,1,5,0.7888606358887065,0.008438292408234354,0.7843356881085428,0.013981877668285249,0.755540661577964,0.0034068543410776227,0.18759696781635285,0.5579008002881314,0,True,1.7181819811221146,1.7620565150564143,1.7181819811221146
28,128,10,4,0.005,4,correlation,2,final,5,1,5,0.7888312345766056,0.003511701348666328,0.7841652822650211,0.011365470363283944,0.7545694751710424,0.008266545388240008,0.18743540048599244,0.5574661317801581,0,True,1.7176810282068942,1.7613718979632758,1.7176810282068942
36,128,20,3,0.002,4,correlation,2,final,5,1,5,0.7884758043667301,0.005948760661195429,0.786469738632569,0.01161088827195359,0.751779850729134,0.006281651871505504,0.18806380331516265,0.5589632168008305,0,True,1.7175855818205428,1.7609452041162388,1.7175855818205428
20,256,20,4,0.005,6,fixed,3,final,5,1,5,0.7884653008464191,0.005023247574496233,0.7860132661617542,0.009168494570345034,0.7524233497600586,0.005810425995666803,0.1889228790998459,0.5614046815732526,0,True,1.7164140275175952,1.7597367298378357,1.7164140275175952
28,256,10,3,0.003,4,fixed,3,final,5,1,5,0.7883523101096888,0.004940306729244957,0.7847619927438899,0.009787071959933669,0.7512852047318013,0.005470110088476673,0.19003885388374328,0.5644235074191476,0,True,1.713200906846029,1.756042509673883,1.713200906846029
20,256,15,4,0.005,4,fixed,2,final,5,1,5,0.7882921711270703,0.006242342398344899,0.7855356532713363,0.00903806496581639,0.7500894726646968,0.00892033952710159,0.1892211318016052,0.5622318377395634,0,True,1.7142471911615866,1.7570486249092676,1.7142471911615866
36,128,20,4,0.002,4,correlation,2,final,5,1,5,0.788180666995699,0.004929289986739455,0.7861568203122612,0.010585047879705422,0.7527981654832492,0.005458816485289704,0.18814992010593415,0.5590637885172816,0,True,1.7174342600473493,1.7610202523502214,1.7174342600473493
20,128,10,4,0.003,6,fixed,2,final,5,1,5,0.7881286665290101,0.006040814951477354,0.7847442526590349,0.008540402637347917,0.7506256662097488,0.006681098773137802,0.1891121655702591,0.5620580166545202,0,True,1.7136430133497857,1.7565139377191108,1.7136430133497857
20,128,15,3,0.003,6,fixed,3,final,5,1,5,0.7880618754679479,0.0041456031956969884,0.7835096507161243,0.009648151779336105,0.7510143824591954,0.00494466908302859,0.18925043940544128,0.5624836453638811,0,True,1.7123593536552235,1.7551766378568912,1.7123593536552235
36,256,20,3,0.003,4,correlation,3,final,5,1,5,0.7880058730606392,0.007211125365433921,0.7830745152407749,0.012385896327109108,0.7534731219490667,0.0055166050727573695,0.18852401971817018,0.5605500670547547,0,True,1.713919621863149,1.7572930198121743,1.713919621863149
36,256,15,4,0.003,6,fixed,2,final,5,1,5,0.7879534039745772,0.004076485294472046,0.784474888763637,0.00574324203231244,0.7525736673076742,0.008903520575013838,0.18910191357135772,0.5618941585304584,0,True,1.7142317881921194,1.7575086218085796,1.7142317881921194
28,128,10,3,0.002,4,fixed,2,final,5,1,5,0.7879189815607551,0.006390162739485907,0.783848541853162,0.008756911101770496,0.7516829685117741,0.007113216000121984,0.1897595226764679,0.563633852308453,0,True,1.712385254826552,1.7553412137866495,1.712385254826552
28,128,10,3,0.003,6,correlation,2,final,5,1,5,0.787739264142518,0.0043525043223209756,0.7841554429849026,0.008341319193631664,0.752347144499406,0.007326596894408711,0.1883353054523468,0.5596262900573026,0,True,1.7145320167665983,1.7578878226336014,1.7145320167665983
28,256,10,3,0.005,6,correlation,3,final,5,1,5,0.7876201997361025,0.006410310998552496,0.7826417001425983,0.01138643480849819,0.7541983051830046,0.00491748710343727,0.18842010498046874,0.56005416324917,0,True,1.7136580743368999,1.7572351572780815,1.7136580743368999
