test_index,perturbations,exact_match_rate,jaccard_mean
94,8,0.875,0.95
95,8,1.0,1.0
96,8,1.0,1.0
97,8,0.875,0.95
98,8,1.0,1.0
99,8,0.5,0.7999999999999999
100,8,0.375,0.75
101,8,1.0,1.0
102,8,1.0,1.0
103,8,0.875,0.95
104,8,0.75,0.8999999999999999
105,8,1.0,1.0
106,8,0.375,0.7499999999999999
107,8,1.0,1.0
108,8,1.0,1.0
109,8,1.0,1.0
110,8,0.875,0.95
111,8,1.0,1.0
112,8,1.0,1.0
113,8,0.375,0.75
114,8,0.75,0.9
115,8,1.0,1.0
116,8,1.0,1.0
117,8,0.625,0.8499999999999999
118,8,1.0,1.0
119,8,0.375,0.75
120,8,0.625,0.8499999999999999
121,8,0.75,0.8999999999999999
122,8,1.0,1.0
123,8,0.5,0.8
124,8,0.5,0.8
125,8,1.0,1.0
126,8,1.0,1.0
127,8,0.875,0.95
128,8,1.0,1.0
129,8,1.0,1.0
130,8,0.875,0.95
131,8,0.875,0.95
132,8,0.75,0.9
133,8,1.0,1.0
134,8,1.0,1.0
135,8,1.0,1.0
136,8,0.75,0.9
137,8,0.875,0.95
138,8,0.625,0.85
139,8,0.75,0.8999999999999999
140,8,1.0,1.0
141,8,1.0,1.0
